取引時期,市区町村名,取引価格（㎡単価）
2022年第4四半期,中央区,3475000.0
2022年第4四半期,中野区,706666.6666666666
2022年第4四半期,八王子市,166959.5744680851
2022年第4四半期,北区,593233.3333333334
2022年第4四半期,千代田区,2400000.0
2022年第4四半期,台東区,1440555.5555555555
2022年第4四半期,品川区,1074782.608695652
2022年第4四半期,国分寺市,339230.76923076925
2022年第4四半期,国立市,403333.3333333333
2022年第4四半期,墨田区,755047.619047619
2022年第4四半期,多摩市,223750.0
2022年第4四半期,大島町,7300.0
2022年第4四半期,大田区,656245.6140350878
2022年第4四半期,小平市,248000.0
2022年第4四半期,小金井市,240000.0
2022年第4四半期,府中市,435000.0
2022年第4四半期,文京区,1345000.0
2022年第4四半期,新宿区,944047.619047619
2022年第4四半期,新島村,5700.0
2022年第4四半期,日野市,160738.09523809524
2022年第4四半期,昭島市,229812.5
2022年第4四半期,杉並区,637555.5555555555
2022年第4四半期,東久留米市,209090.9090909091
2022年第4四半期,東大和市,157125.0
2022年第4四半期,東村山市,245133.33333333334
2022年第4四半期,板橋区,531111.1111111111
2022年第4四半期,武蔵村山市,119250.0
2022年第4四半期,武蔵野市,671111.1111111111
2022年第4四半期,江戸川区,421456.52173913043
2022年第4四半期,江東区,925294.1176470588
2022年第4四半期,清瀬市,236250.0
2022年第4四半期,渋谷区,2005333.3333333333
2022年第4四半期,港区,4550000.0
2022年第4四半期,狛江市,300300.0
2022年第4四半期,町田市,161868.42105263157
2022年第4四半期,目黒区,1252592.5925925926
2022年第4四半期,福生市,207500.0
2022年第4四半期,稲城市,188600.0
2022年第4四半期,立川市,348357.14285714284
2022年第4四半期,練馬区,464690.9090909091
2022年第4四半期,羽村市,195000.0
2022年第4四半期,荒川区,898000.0
2022年第4四半期,葛飾区,394473.6842105263
2022年第4四半期,西多摩郡奥多摩町,8050.0
2022年第4四半期,西多摩郡日の出町,78000.0
2022年第4四半期,西多摩郡檜原村,13000.0
2022年第4四半期,西多摩郡瑞穂町,73708.33333333333
2022年第4四半期,西東京市,358823.5294117647
2022年第4四半期,調布市,464117.64705882355
2022年第4四半期,豊島区,988095.2380952381
2022年第4四半期,足立区,378859.375
2022年第4四半期,青梅市,66930.0
2023年第1四半期,あきる野市,89692.30769230769
2023年第1四半期,三鷹市,446578.94736842107
2023年第1四半期,世田谷区,812613.6363636364
2023年第1四半期,中央区,3883333.3333333335
2023年第1四半期,中野区,806666.6666666666
2023年第1四半期,八丈町,900.0
2023年第1四半期,八王子市,147232.14285714287
2023年第1四半期,北区,689642.8571428572
2023年第1四半期,千代田区,4600000.0
2023年第1四半期,台東区,1415000.0
2023年第1四半期,品川区,1119000.0
2023年第1四半期,国分寺市,379375.0
2023年第1四半期,国立市,390000.0
2023年第1四半期,墨田区,995571.4285714285
2023年第1四半期,多摩市,207800.0
2023年第1四半期,大島町,5700.0
2023年第1四半期,大田区,658644.0677966102
2023年第1四半期,小平市,291428.5714285714
2023年第1四半期,小笠原村,30000.0
2023年第1四半期,小金井市,411666.6666666667
2023年第1四半期,府中市,275944.44444444444
2023年第1四半期,文京区,1318666.6666666667
2023年第1四半期,新宿区,983500.0
2023年第1四半期,日野市,191888.88888888888
2023年第1四半期,昭島市,220714.2857142857
2023年第1四半期,杉並区,716739.1304347826
2023年第1四半期,東久留米市,219600.0
2023年第1四半期,東大和市,173545.45454545456
2023年第1四半期,東村山市,270846.1538461539
2023年第1四半期,板橋区,563103.448275862
2023年第1四半期,武蔵村山市,141500.0
2023年第1四半期,武蔵野市,666470.5882352941
2023年第1四半期,江戸川区,408454.54545454547
2023年第1四半期,江東区,908125.0
2023年第1四半期,清瀬市,296000.0
2023年第1四半期,渋谷区,2085000.0
2023年第1四半期,港区,2757142.8571428573
2023年第1四半期,狛江市,362142.85714285716
2023年第1四半期,町田市,167407.54716981133
2023年第1四半期,目黒区,1140740.7407407407
2023年第1四半期,福生市,168833.33333333334
2023年第1四半期,稲城市,151777.77777777778
2023年第1四半期,立川市,369230.76923076925
2023年第1四半期,練馬区,485185.18518518517
2023年第1四半期,羽村市,199923.07692307694
2023年第1四半期,荒川区,629259.2592592592
2023年第1四半期,葛飾区,346162.1621621622
2023年第1四半期,西多摩郡日の出町,6000.0
2023年第1四半期,西多摩郡瑞穂町,104666.66666666667
2023年第1四半期,西東京市,310666.6666666667
2023年第1四半期,調布市,346964.28571428574
2023年第1四半期,豊島区,832857.1428571428
2023年第1四半期,足立区,368235.48387096776
2023年第1四半期,青梅市,93691.30434782608
2023年第2四半期,あきる野市,92615.38461538461
2023年第2四半期,三鷹市,516923.07692307694
2023年第2四半期,世田谷区,930000.0
2023年第2四半期,中央区,1284000.0
2023年第2四半期,中野区,871363.6363636364
2023年第2四半期,八丈町,3450.0
2023年第2四半期,八王子市,142551.02040816325
2023年第2四半期,北区,804137.9310344828
2023年第2四半期,千代田区,6966666.666666667
2023年第2四半期,台東区,1682380.9523809524
2023年第2四半期,品川区,1052941.1764705882
2023年第2四半期,国分寺市,353333.3333333333
2023年第2四半期,国立市,258750.0
2023年第2四半期,墨田区,776000.0
2023年第2四半期,多摩市,197166.66666666666
2023年第2四半期,大島町,150.0
2023年第2四半期,大田区,702272.7272727273
2023年第2四半期,小平市,300636.36363636365
2023年第2四半期,小笠原村,40666.666666666664
2023年第2四半期,小金井市,455000.0
2023年第2四半期,府中市,337055.55555555556
2023年第2四半期,文京区,1856833.3333333333
2023年第2四半期,新宿区,1231785.7142857143
2023年第2四半期,日野市,234384.61538461538
2023年第2四半期,昭島市,232857.14285714287
2023年第2四半期,杉並区,768541.6666666666
2023年第2四半期,東久留米市,250625.0
2023年第2四半期,東大和市,169181.81818181818
2023年第2四半期,東村山市,200521.73913043478
2023年第2四半期,板橋区,582500.0
2023年第2四半期,武蔵村山市,123272.72727272728
2023年第2四半期,武蔵野市,614166.6666666666
2023年第2四半期,江戸川区,341850.0
2023年第2四半期,江東区,863000.0
2023年第2四半期,清瀬市,208380.0
2023年第2四半期,渋谷区,2281111.111111111
2023年第2四半期,港区,4371428.571428572
2023年第2四半期,狛江市,401000.0
2023年第2四半期,町田市,179614.70588235295
2023年第2四半期,目黒区,1240476.1904761905
2023年第2四半期,福生市,167000.0
2023年第2四半期,稲城市,227222.22222222222
2023年第2四半期,立川市,343181.8181818182
2023年第2四半期,練馬区,544821.4285714285
2023年第2四半期,羽村市,160000.0
2023年第2四半期,荒川区,676666.6666666666
2023年第2四半期,葛飾区,310531.25
2023年第2四半期,西多摩郡日の出町,36000.0
2023年第2四半期,西多摩郡檜原村,21000.0
2023年第2四半期,西多摩郡瑞穂町,85428.57142857143
2023年第2四半期,西東京市,373529.4117647059
2023年第2四半期,調布市,369687.5
2023年第2四半期,豊島区,903157.8947368421
2023年第2四半期,足立区,407205.8823529412
2023年第2四半期,青梅市,68846.15384615384
2023年第3四半期,あきる野市,85400.90909090909
2023年第3四半期,三鷹市,445555.55555555556
2023年第3四半期,世田谷区,808265.306122449
2023年第3四半期,中央区,2066666.6666666667
2023年第3四半期,中野区,784705.8823529412
2023年第3四半期,八丈町,2105.0
2023年第3四半期,八王子市,124844.68085106384
2023年第3四半期,北区,645000.0
2023年第3四半期,千代田区,2800000.0
2023年第3四半期,台東区,1011666.6666666666
2023年第3四半期,品川区,1151785.7142857143
2023年第3四半期,国分寺市,365000.0
2023年第3四半期,国立市,448571.4285714286
2023年第3四半期,墨田区,824111.1111111111
2023年第3四半期,多摩市,222857.14285714287
2023年第3四半期,大島町,4270.0
2023年第3四半期,大田区,681484.8484848485
2023年第3四半期,小平市,225230.76923076922
2023年第3四半期,小金井市,380833.3333333333
2023年第3四半期,府中市,589545.4545454546
2023年第3四半期,文京区,1183529.4117647058
2023年第3四半期,新宿区,1310400.0
2023年第3四半期,新島村,1900.0
2023年第3四半期,日野市,213000.0
2023年第3四半期,昭島市,212363.63636363635
2023年第3四半期,杉並区,719978.7234042553
2023年第3四半期,東久留米市,291833.3333333333
2023年第3四半期,東大和市,412333.3333333333
2023年第3四半期,東村山市,211428.57142857142
2023年第3四半期,板橋区,529444.4444444445
2023年第3四半期,武蔵村山市,123307.69230769231
2023年第3四半期,武蔵野市,675000.0
2023年第3四半期,江戸川区,493513.5135135135
2023年第3四半期,江東区,805625.0
2023年第3四半期,清瀬市,229750.0
2023年第3四半期,渋谷区,2874117.6470588236
2023年第3四半期,港区,4013333.3333333335
2023年第3四半期,狛江市,385000.0
2023年第3四半期,町田市,193491.48936170212
2023年第3四半期,目黒区,1189769.2307692308
2023年第3四半期,福生市,141000.0
2023年第3四半期,稲城市,330000.0
2023年第3四半期,立川市,327000.0
2023年第3四半期,練馬区,539304.3478260869
2023年第3四半期,羽村市,155000.0
2023年第3四半期,荒川区,642500.0
2023年第3四半期,葛飾区,371428.5714285714
2023年第3四半期,西多摩郡檜原村,1700.0
2023年第3四半期,西多摩郡瑞穂町,140600.0
2023年第3四半期,西東京市,358812.5
2023年第3四半期,調布市,474411.76470588235
2023年第3四半期,豊島区,1101111.111111111
2023年第3四半期,足立区,459047.61904761905
2023年第3四半期,青梅市,90900.0
2023年第4四半期,あきる野市,64323.07692307692
2023年第4四半期,三鷹市,430000.0
2023年第4四半期,世田谷区,849310.3448275862
2023年第4四半期,中央区,2550000.0
2023年第4四半期,中野区,693076.9230769231
2023年第4四半期,八丈町,3200.0
2023年第4四半期,八王子市,138286.0
2023年第4四半期,北区,693225.8064516129
2023年第4四半期,千代田区,280000.0
2023年第4四半期,台東区,1605833.3333333333
2023年第4四半期,品川区,1057272.7272727273
2023年第4四半期,国分寺市,374545.45454545453
2023年第4四半期,国立市,469000.0
2023年第4四半期,墨田区,828333.3333333334
2023年第4四半期,多摩市,202500.0
2023年第4四半期,大島町,5466.666666666667
2023年第4四半期,大田区,691953.8461538461
2023年第4四半期,小平市,262500.0
2023年第4四半期,小金井市,427692.3076923077
2023年第4四半期,府中市,334166.6666666667
2023年第4四半期,文京区,1367142.857142857
2023年第4四半期,新宿区,1492142.857142857
2023年第4四半期,日野市,256625.0
2023年第4四半期,昭島市,208000.0
2023年第4四半期,杉並区,700000.0
2023年第4四半期,東久留米市,269090.9090909091
2023年第4四半期,東大和市,184166.66666666666
2023年第4四半期,東村山市,242875.0
2023年第4四半期,板橋区,515000.0
2023年第4四半期,武蔵村山市,148500.0
2023年第4四半期,武蔵野市,697500.0
2023年第4四半期,江戸川区,405161.29032258067
2023年第4四半期,江東区,655714.2857142857
2023年第4四半期,清瀬市,184333.33333333334
2023年第4四半期,渋谷区,1788666.6666666667
2023年第4四半期,港区,3080000.0
2023年第4四半期,狛江市,340000.0
2023年第4四半期,町田市,166634.83333333334
2023年第4四半期,目黒区,1166666.6666666667
2023年第4四半期,福生市,160800.0
2023年第4四半期,稲城市,310727.2727272727
2023年第4四半期,立川市,301588.23529411765
2023年第4四半期,練馬区,513829.78723404254
2023年第4四半期,羽村市,182222.22222222222
2023年第4四半期,荒川区,777500.0
2023年第4四半期,葛飾区,408181.8181818182
2023年第4四半期,西多摩郡日の出町,44000.0
2023年第4四半期,西多摩郡瑞穂町,94333.33333333333
2023年第4四半期,西東京市,308125.0
