walk_min_from_nearest_station,construction_area,construction_year,street_width,land_price_estimated,wood,south,west,east,north,price
9,75,2022,4.0,49.0,True,True,False,False,False,68.0
10,95,2023,10.8,66.26664,True,False,False,True,False,52.0
1,95,2022,6.9,26.25,True,True,True,False,False,56.0
9,70,2022,6.3,39.2,True,False,True,False,True,49.0
11,125,2021,9.7,39.9,True,False,False,False,True,55.0
11,100,2021,9.5,39.9,True,False,False,False,True,57.0
6,70,2021,4.0,22.8,True,False,False,False,True,40.0
4,85,2021,4.0,14.0,True,False,False,True,False,46.0
26,75,2021,4.0,2.88,True,False,False,True,False,44.0
4,100,2024,4.0,34.3,True,False,True,False,False,62.0
8,100,2023,6.1,32.825,True,False,True,False,True,60.0
4,95,2023,4.0,37.875,True,True,False,False,False,58.0
10,85,2023,4.0,59.73426,True,True,False,False,False,56.0
6,85,2023,4.0,26.25,True,False,False,True,True,55.0
2,120,2021,3.6,65.968575,True,True,True,False,False,62.0
2,115,2021,3.6,65.968575,True,True,True,False,False,62.0
9,95,2022,9.5,70.36648,True,True,False,True,False,58.0
4,120,2022,3.3,79.16229,True,True,False,False,False,54.0
8,85,2021,4.0,23.65,True,False,True,False,True,50.0
11,75,2022,4.0,25.8,True,False,True,False,False,42.0
12,75,2022,20.2,35.25,True,True,False,True,False,47.0
10,80,2021,6.0,33.165,True,False,False,False,True,43.0
11,80,2021,6.0,25.2,True,False,False,False,True,44.0
12,100,2023,4.5,62.732175,True,False,False,True,False,51.0
12,100,2023,4.5,58.55003,True,False,False,False,True,53.0
10,80,2023,3.3,22.275,True,True,False,False,False,39.0
10,70,2023,4.0,18.225,True,False,True,False,False,41.0
10,85,2023,5.0,26.325,True,False,False,False,True,40.0
12,100,2023,4.5,32.4,True,False,False,True,False,49.0
15,75,2023,4.0,9.81,True,True,False,False,False,41.0
10,85,2023,5.0,21.16665,True,False,False,False,True,48.0
7,70,2023,4.0,32.816685,True,False,False,False,True,40.0
3,95,2023,4.0,42.0,True,False,False,False,True,62.0
8,110,2023,2.7,31.875,True,False,False,True,True,67.0
4,95,2023,4.5,25.5,True,False,False,True,False,65.0
3,75,2022,4.0,23.375,True,False,True,False,False,47.0
3,65,2022,2.8,30.55,True,False,False,False,True,47.0
75,95,2023,2.8,39.757135,True,True,False,False,False,58.0
5,80,2022,4.0,35.75,True,False,False,False,True,63.0
8,85,2021,2.4,34.83335,True,False,True,False,False,50.0
3,95,2021,3.2,24.7,True,False,True,False,False,49.0
7,95,2023,4.0,106.8,True,False,True,False,False,63.0
8,65,2020,3.2,39.2,True,True,True,False,False,15.0
3,70,2021,5.5,55.275,True,True,False,True,False,53.0
8,90,2022,3.3,55.275,True,False,False,True,True,61.0
4,70,2022,1.8,55.275,True,True,True,False,False,52.0
4,70,2022,3.1,50.25,True,True,True,False,False,47.0
4,95,2021,3.2,32.0,True,False,False,False,True,47.0
7,90,2021,3.6,13.2,True,False,True,False,False,50.0
12,80,2020,10.9,57.59,True,False,True,False,True,65.0
3,85,2023,4.0,39.0,True,False,False,False,True,48.0
2,65,2021,4.0,17.5,True,True,False,False,False,32.0
6,65,2022,8.0,34.059375,True,False,False,False,True,63.0
9,80,2021,11.1,59.85,True,False,True,False,False,62.0
8,70,2023,4.0,53.4,True,False,False,True,False,55.0
5,75,2023,3.4,53.9,True,False,True,False,False,63.0
10,55,2023,6.0,44.1,True,True,False,True,False,48.0
5,85,2022,22.0,67.5,True,False,True,False,True,57.0
7,100,2022,3.8,82.5,True,False,False,False,True,63.0
7,70,2022,3.4,112.5,True,True,False,False,False,62.0
10,85,2024,4.0,32.4,True,False,False,True,True,59.0
10,90,2022,4.0,28.0,True,True,False,True,False,56.0
5,80,2022,4.2,33.0,True,False,True,False,True,50.0
8,85,2024,4.0,35.75,True,False,False,True,False,60.0
4,80,2022,4.2,18.144,True,False,True,False,True,57.0
8,70,2023,2.7,18.144,True,False,False,True,False,50.0
9,70,2022,4.0,29.75,True,False,True,False,False,42.0
9,70,2020,4.0,20.66668,True,False,False,True,True,39.0
9,75,2022,4.0,25.83335,True,False,True,False,True,45.0
9,95,2021,4.0,16.076645,True,False,True,False,False,53.0
5,70,2021,4.0,13.603315,True,True,True,False,False,54.0
11,80,2022,3.9,12.36665,True,True,False,False,False,53.0
6,85,2021,5.9,25.25,True,False,False,True,False,52.0
6,105,2021,5.9,30.3,True,False,False,True,False,59.0
10,90,2020,4.0,43.37142,True,False,True,False,True,61.0
8,90,2023,2.6,26.325,True,False,False,True,False,57.0
9,85,2023,4.0,20.25,True,True,False,False,False,48.0
10,85,2023,4.0,16.35,True,False,False,False,True,55.0
10,90,2023,4.0,33.86664,True,False,False,True,False,57.0
10,100,2023,3.6,25.39998,True,False,True,False,True,53.0
6,120,2024,4.1,35.983305,True,True,False,True,False,85.0
1,75,2023,3.0,29.183305,True,False,False,False,True,53.0
11,105,2023,4.0,22.316645,True,True,True,False,False,59.0
9,75,2022,4.0,25.349985,True,False,False,False,True,46.0
5,70,2022,4.0,14.099985,True,False,False,True,False,40.0
5,85,2022,4.2,47.45,True,False,True,False,True,67.0
7,90,2022,3.6,16.83,True,False,False,True,False,46.0
4,100,2022,4.0,13.2,True,False,True,False,True,49.0
5,25,2020,3.2,14.25,True,True,False,False,False,17.0
8,90,2021,4.0,46.748,True,True,False,False,False,45.0
8,95,2021,4.0,46.748,True,False,True,False,False,48.0
11,70,2021,3.2,39.556,True,True,False,True,False,37.0
8,105,2022,22.0,42.375,True,True,False,False,False,71.0
13,95,2023,3.0,4.1,True,False,False,False,True,84.0
12,75,2021,6.0,52.0,True,False,False,False,True,62.0
13,100,2021,8.0,10.45,True,True,False,True,False,69.0
14,70,2021,7.2,33.2,True,True,True,False,False,47.0
14,70,2021,6.4,49.8,True,False,True,False,True,53.0
14,100,2021,6.5,44.184,True,False,True,False,True,63.0
2,70,2022,6.0,36.54,True,True,False,True,False,65.0
10,70,2022,4.5,40.425,True,False,True,False,False,56.0
