"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","東砂","南砂町",14,29000000,1500000,65,450000,"ほぼ長方形",5.5,"住宅","北","区道",4,"準工業",60,300,"2021年第2四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","東砂","南砂町",21,100000000,1600000,210,480000,"ほぼ長方形",10,"工場","南","区道",5.9,"準工業",60,400,"2021年第2四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","平野","木場",13,49000000,2400000,65,740000,"長方形",7,"住宅","東","区道",8.2,"準工業",60,300,"2021年第4四半期","私道を含む取引"
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","平野","清澄白河",10,350000000,1400000,830,420000,"長方形",34.5,"住宅","東","区道",6,"準工業",60,300,"2021年第4四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","深川","門前仲町",4,92000000,3800000,80,1100000,"長方形",7.3,"住宅","北","私道",4,"準工業",60,300,"2023年第3四半期","私道を含む取引"
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","深川","門前仲町",6,420000000,7000000,195,2100000,"不整形",8.8,"住宅","北","都道",22,"準工業",60,400,"2021年第2四半期","私道を含む取引"
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","福住","清澄白河",8,56000000,1700000,110,510000,"ほぼ長方形",9.6,"","北西","私道",4,"準工業",60,300,"2021年第3四半期","私道を含む取引"
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","福住","清澄白河",9,53000000,3200000,55,970000,"長方形",5,"住宅","北西","区道",11,"準工業",60,300,"2021年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","福住","門前仲町",7,140000000,4600000,95,1400000,"長方形",10.6,"住宅","南東","区道",8,"準工業",60,300,"2023年第2四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","古石場","越中島",5,48000000,3400000,45,1000000,"長方形",5,"住宅","北東","区道",6,"準工業",60,300,"2021年第1四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","古石場","木場",8,77000000,2800000,90,840000,"長方形",7,"住宅","西","私道",2,"準工業",60,300,"2023年第4四半期","私道を含む取引"
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","古石場","木場",11,100000000,3500000,95,1100000,"長方形",5.4,"住宅","西","私道",3.8,"準工業",60,300,"2023年第4四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","古石場","木場",10,10000000,890000,35,270000,"袋地等",4.5,"住宅","南","区道",8,"準工業",60,300,"2022年第4四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","古石場","木場",9,180000000,4100000,150,1200000,"長方形",7,"住宅","南","区道",5.5,"準工業",60,300,"2022年第4四半期","私道を含む取引"
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","古石場","木場",8,63000000,2300000,90,700000,"長方形",7,"住宅","南","私道",6,"準工業",60,300,"2022年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","古石場","木場",11,130000000,4400000,95,1300000,"不整形",16,"住宅","南西","区道",9.6,"準工業",60,300,"2022年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","古石場","木場",9,56000000,3300000,55,990000,"ほぼ長方形",4,"住宅","南","区道",8,"準工業",60,300,"2021年第2四半期","隣地の購入"
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","古石場","門前仲町",10,44000000,3100000,45,940000,"不整形",4.8,"住宅","東","区道",3,"準工業",60,300,"2021年第1四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","牡丹","門前仲町",6,80000000,4700000,55,1400000,"長方形",5.6,"住宅","南西","区道",6,"準工業",60,300,"2023年第1四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","牡丹","門前仲町",3,41000000,3000000,45,920000,"ほぼ長方形",6,"住宅","北西","区道",6,"準工業",60,300,"2022年第2四半期",""
"宅地(土地)","不動産取引価格情報","商業地","13108","東京都","江東区","南砂","住吉(東京)",16,100000000,2700000,120,820000,"長方形",8,"倉庫","北東","都道",22,"商業",80,400,"2023年第4四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","南砂","南砂町",9,51000000,1600000,110,470000,"不整形",3,"住宅","南","私道",4.5,"準工業",60,300,"2023年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","南砂","南砂町",8,50000000,2000000,80,610000,"長方形","","","接面道路無","","","準工業",60,300,"2023年第2四半期",""
"宅地(土地)","不動産取引価格情報","商業地","13108","東京都","江東区","南砂","南砂町",14,580000000,5700000,340,1700000,"不整形",13.7,"","北東","道道",26,"商業",80,400,"2022年第4四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","南砂","南砂町",8,33000000,2300000,45,710000,"ほぼ整形",8,"住宅","北","私道",4,"１種住居",60,300,"2022年第4四半期","私道を含む取引"
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","南砂","南砂町",8,4700000,150000,105,46000,"ほぼ長方形",0.7,"住宅","東","区道",4,"１種住居",60,300,"2022年第2四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","南砂","南砂町",6,30000000,2200000,45,660000,"ほぼ長方形",9.2,"住宅","南東","道路",6,"２種住居",60,400,"2021年第2四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","三好","清澄白河",9,76000000,5000000,50,1500000,"長方形",5.9,"住宅","西","区道",6,"準工業",60,300,"2023年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","三好","清澄白河",4,40000000,3100000,40,950000,"ほぼ長方形",5.2,"住宅","北","私道",1.7,"準工業",60,300,"2023年第2四半期","私道を含む取引"
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","三好","清澄白河",6,200000000,2500000,260,760000,"ほぼ長方形","","住宅","南","私道",1.8,"準工業",60,300,"2021年第4四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","三好","清澄白河",12,140000000,1200000,380,370000,"ほぼ長方形",12,"住宅","東","区道",8.2,"準工業",60,300,"2021年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","毛利","住吉(東京)",4,370000000,4500000,270,1400000,"長方形",11,"住宅","北","区道",11,"準工業",60,300,"2021年第2四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","森下","菊川(東京)",3,130000000,4500000,95,1400000,"長方形",9.5,"住宅","東","区道",3,"商業",80,400,"2024年第1四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","森下","菊川(東京)",5,150000000,3000000,165,910000,"ほぼ長方形",9.1,"その他","西","区道",8,"準工業",60,300,"2023年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","森下","菊川(東京)",5,55000000,2100000,85,650000,"ほぼ長方形",7.3,"その他","西","私道",2.4,"準工業",60,300,"2022年第4四半期","私道を含む取引"
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","森下","菊川(東京)",5,160000000,3800000,135,1100000,"長方形",6.4,"住宅","西","区道",6,"準工業",60,300,"2022年第4四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","森下","菊川(東京)",5,130000000,3300000,130,990000,"長方形",7,"倉庫","西","区道",7.9,"準工業",60,300,"2022年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","森下","菊川(東京)",5,140000000,3400000,135,1000000,"長方形",6.4,"住宅","西","区道",6,"準工業",60,300,"2022年第3四半期",""
"宅地(土地)","不動産取引価格情報","商業地","13108","東京都","江東区","森下","菊川(東京)",3,140000000,3500000,130,1100000,"長方形",13,"住宅","南西","都道",22,"商業",80,400,"2021年第4四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","森下","森下(東京)",2,90000000,3600000,85,1100000,"不整形",16,"住宅","南","区道",8,"準工業",60,300,"2022年第4四半期",""
"宅地(土地)","不動産取引価格情報","商業地","13108","東京都","江東区","森下","森下(東京)",6,77000000,5000000,50,1500000,"ほぼ長方形",8.8,"住宅","北","区道",15,"近隣商業",60,300,"2021年第4四半期",""
"宅地(土地)","不動産取引価格情報","商業地","13108","東京都","江東区","森下","森下(東京)",5,50000000,3000000,55,910000,"長方形",3.9,"住宅","北","区道",15,"近隣商業",80,300,"2021年第1四半期",""
