,district,walk_min_from_nearest_station,construction_area,construction_year,street_width,land_price_estimated,wood,south,west,east,north,price
55302,国分寺市,18,70,2022,4.0,24.15,True,False,False,True,False,44.0
55305,国分寺市,20,95,2021,5.5,30.42,True,True,False,True,False,59.0
55306,国分寺市,20,95,2021,6.0,29.25,True,False,False,True,False,45.0
55307,国分寺市,26,100,2021,5.5,25.0,True,True,False,False,False,46.0
55309,国分寺市,23,95,2023,7.2,39.0,True,False,False,False,True,44.0
55311,国分寺市,26,90,2023,5.0,51.4625,True,False,False,False,True,46.0
55316,国分寺市,28,65,2022,5.0,25.378535,True,False,True,False,False,37.0
55317,国分寺市,21,90,2022,4.0,43.725,True,True,False,False,False,45.0
55318,国分寺市,26,85,2022,4.0,41.7375,True,True,False,False,False,48.0
55319,国分寺市,24,90,2021,4.0,41.60004,True,False,False,True,True,44.0
55322,国分寺市,45,80,2022,4.5,30.3478,True,False,False,True,False,41.0
55323,国分寺市,26,90,2022,14.8,36.41736,True,False,True,False,False,52.0
55326,国分寺市,29,80,2020,4.0,29.2308,True,False,True,False,True,37.0
55327,国分寺市,21,60,2021,4.0,23.38464,True,False,False,False,True,31.0
55331,国分寺市,23,90,2022,6.0,41.25625,True,True,True,False,False,49.0
55335,国分寺市,23,90,2022,6.0,58.37814,True,True,True,False,False,55.0
55337,国分寺市,24,90,2022,4.0,58.37814,True,True,True,False,False,48.0
55338,国分寺市,23,90,2022,6.0,34.335665,True,True,False,True,False,55.0
55339,国分寺市,15,65,2021,4.0,29.466695,True,True,False,True,False,37.0
55343,国分寺市,16,70,2021,4.0,30.3478,True,True,True,False,False,40.0
55344,国分寺市,21,95,2021,5.5,37.93475,True,True,True,False,False,49.0
55348,国分寺市,14,90,2023,4.5,34.5,True,False,True,False,True,58.0
55349,国分寺市,14,90,2023,4.5,34.5,True,True,True,False,False,56.0
55355,国分寺市,17,90,2022,6.0,41.975,True,True,True,False,False,53.0
55356,国分寺市,2,90,2022,5.0,31.025,True,False,True,False,False,53.0
55359,国分寺市,16,90,2022,5.0,27.025,True,True,True,False,False,47.0
55360,国分寺市,5,105,2021,6.0,41.3,True,True,True,False,False,61.0
55372,国分寺市,19,105,2022,4.0,23.66,True,True,True,False,False,60.0
